sample_id,I_raw,severity
0,2.826006583332119,1.504467
1,2.4073098437901166,1.5042026
2,0.2244603050537613,1.5220416
3,2.2848096808410716,1.4985496
4,1.3846974351907126,1.4528055
5,1.4622458049928602,1.4429986
6,0.4867647267394029,1.4479493
7,0.49400870530566043,1.4485794
8,0.7274795734333922,1.4517146
9,2.0593436378398002,1.5027093
10,0.4641171436571031,1.4482322
11,0.2601630817124567,1.5141044
12,0.28843387526670067,1.4353951
13,0.7184992090474781,1.4528317
14,0.6363413433282198,1.4415777
15,1.1239802362146283,1.4519854
16,2.035381846382953,1.4509107
17,0.21329082611982084,1.4209025
18,0.8309218926594307,1.4468895
19,0.5077869110879603,1.5008255
20,2.6241102769009794,1.4533368
21,0.4620197938315079,1.4356748
22,0.8385742528490603,1.4523565
23,0.25603632840617085,1.3961266
24,2.2120613952067303,1.4531449
25,2.7307088589265867,1.4525468
26,0.48903080234030855,1.4405072
27,1.2159945548582167,1.4522427
28,1.0431439202032964,1.4524277
29,0.49154223865402336,1.5100181
30,3.623146105118713,1.453535
31,1.5594306175414527,1.4684105
32,0.8488409140488772,1.4517995
33,0.2766633696429017,1.4841638
34,0.5418303291901815,1.5006118
35,1.5844841684091764,1.4568946
36,3.0238826466819613,1.5056547
37,2.3409896042627087,1.5083722
38,0.3232169871623983,1.4572922
39,0.2236382721080174,1.4415145
40,0.3987665660995844,1.446715
41,0.9943478007484299,1.5070285
42,0.4111734672484866,1.4352472
43,0.41611549126384006,1.4620517
44,0.7237644292366945,1.4457539
45,0.6125149344784611,1.45143
46,0.21309353176615844,1.4453853
47,0.5776862804550095,1.4497366
48,2.1006888255564196,1.5055258
49,0.2717922590866846,1.4449716
50,1.566635454907765,1.4847603
51,0.6553197140564773,1.5115006
52,1.9722256950826158,1.4621462
53,3.7508039584073662,1.4535307
54,1.5572128846709412,1.4860605
55,2.4463692703650324,1.4613214
56,0.2904661905562165,1.449483
57,0.5818909271255622,1.5124186
58,0.66620379141683,1.4509563
59,1.3636531140251147,1.4528233
60,0.7174278750546148,1.4508576
61,1.274144649941351,1.4506028
62,1.88001424433358,1.5085452
63,0.8745407243528225,1.459952
64,3.1548749623924897,1.4864864
65,3.7136262825488187,1.4765619
66,1.7366442980582655,1.4785308
67,0.5249434437634393,1.5092751
68,0.5257330401184348,1.451477
69,1.1417768586167618,1.452653
70,0.2381175417922106,1.4756341
71,0.4688658823092804,1.5019255
72,0.48529438278495424,1.4512529
73,0.5588366824469667,1.5081867
74,2.96648091687951,1.4528272
