sample_id,I_raw,training_target,predicted_distance,prediction_error,location,extent
0,2.8260065858227725,2.8260065858227725,1.4584415,-1.3675650899273868,0.997270564214627,0.18328650480590306
1,2.4073115745773723,2.4073115745773723,1.4573902,-0.9499213854065349,0.42586451605150366,0.22674742102602288
2,0.22446030519921353,0.22446030519921353,0.70492756,0.4804672584680838,0.18234393693565354,0.21928029542644234
3,2.284810850550434,2.284810850550434,1.4552739,-0.8295369838969915,0.6205636283858632,0.36861489421125065
4,1.3846975527831682,1.3846975527831682,1.473676,0.08897841347964919,0.529736818283193,0.4384617869174329
5,1.4622498289888188,1.4622498289888188,0.7523633,-0.7098865048234746,0.9126442475316979,0.05321636775281264
6,0.4867647271982272,0.4867647271982272,1.2330743,0.7463095802434843,0.16167981532627795,0.30111953141621606
7,0.4940087066711938,0.4940087066711938,0.5211177,0.02710898055414801,0.46741671273650065,0.255193141782381
8,0.7274812223802475,0.7274812223802475,1.4420371,0.7145558831800553,0.11453858120286942,0.35106994977785183
9,2.05934745170453,2.05934745170453,1.458629,-0.6007184395966809,0.2736179082280157,0.2521736705860126
10,0.46411714380154373,0.46411714380154373,0.992297,0.5281798499309087,0.44324282006583515,0.263163591758684
11,0.2601631511044189,0.2601631511044189,0.79385746,0.5336943041491822,0.1254299647680518,0.15583996885436452
12,0.28843387567670764,0.28843387567670764,0.6688987,0.380464825991078,0.6181371936607712,0.20606899533669326
13,0.7184992251226603,0.7184992251226603,1.4438525,0.7253533187082113,0.7274957907375856,0.46159580410966194
14,0.6363415510646445,0.6363415510646445,0.62700295,-0.00933859658161229,0.41090495562064866,0.12505372023530564
15,1.1239802773157452,1.1239802773157452,1.4652863,0.34130597756706726,0.31635282388090236,0.3157996390108623
16,2.035381877236009,2.035381877236009,1.4530011,-0.5823807356878521,0.9493252298183685,0.09150357348662126
17,0.21329082631232602,0.21329082631232602,0.28769818,0.07440735317108768,0.06764755045323068,0.18905321886873758
18,0.8309219140304688,0.8309219140304688,1.0491269,0.21820494944914548,0.8342512733296459,0.14038598986002826
19,0.5077874523631285,0.5077874523631285,1.4302052,0.9224177735813905,0.2099360863705283,0.291241240126892
20,2.624110278924492,2.624110278924492,1.4882357,-1.1358745668731003,0.08190707704896727,0.36671148092855665
21,0.4620197949725273,0.4620197949725273,0.50522363,0.043203836886298363,0.5870926877806507,0.15040319389005724
22,0.8385756545025508,0.8385756545025508,1.4677333,0.6291576094668706,0.2981819271604573,0.4245067842116848
23,0.2560363815334413,0.2560363815334413,0.36991352,0.11387713689536116,0.9537302869719542,0.1632594636947171
24,2.212061440185951,2.212061440185951,1.4939728,-0.7180886618656386,0.8521072015655635,0.2969969978173469
25,2.730708861381216,2.730708861381216,1.502065,-1.2286439180676174,0.5195232290599621,0.1279718691887449
26,0.4890308085246612,0.4890308085246612,0.22073324,-0.2682975682778884,0.3916209514558624,0.13986867172113723
27,1.2159945556401761,1.2159945556401761,1.4743558,0.2583612612009494,0.8552891970477281,0.29664375622787353
28,1.0431440013488118,1.0431440013488118,1.4674077,0.4242637020508464,0.384098884112681,0.3649523523794228
29,0.49154270102048336,0.49154270102048336,0.84898096,0.3574382622096497,0.7781447126617621,0.07871229428362148
30,3.623146112076663,3.623146112076663,1.5036666,-2.11947947274866,0.37815997552239733,0.19056615489707293
31,1.5594307810285677,1.5594307810285677,1.4534497,-0.10598105492383136,0.6835017929987522,0.41183313368088603
32,0.8488409159451131,0.8488409159451131,1.4558539,0.6070130231112834,0.8926765934404803,0.3538773569893762
33,0.2766633697545564,0.2766633697545564,1.421608,1.1449446014368498,0.6251398582058743,0.48158258242614393
34,0.5418303327893598,0.5418303327893598,1.2906944,0.7488640231753009,0.6624009902322634,0.14618080852107396
35,1.584484178986053,1.584484178986053,1.4519756,-0.13250859495590173,0.8393344564006443,0.49710198936580946
36,3.0238826481095296,3.0238826481095296,1.4554269,-1.568455716728304,0.055247756812724425,0.13107349987319944
37,2.3409896057303734,2.3409896057303734,1.4494659,-0.8915237348731346,0.1542439000243392,0.10732136921240074
38,0.32321782053952075,0.32321782053952075,1.406533,1.0833151823138727,0.28453500619492067,0.38836062322413517
39,0.22363828371742012,0.22363828371742012,0.7424866,0.5188483123900628,0.6751741459274323,0.35563518132458366
40,0.3987665870028278,0.3987665870028278,0.64564985,0.24688326336567196,0.06804640703944653,0.25273626256870163
41,0.9943506310269828,0.9943506310269828,1.4415686,0.4472179820253853,0.48549624183635376,0.19456653071477037
42,0.4111734675957382,0.4111734675957382,0.5747847,0.16361122850640414,0.4393541449578907,0.11359208274786955
