sample_id,I_raw,training_target,predicted_distance,prediction_error,location,extent
0,2.826006583332119,0.7386308731520563,0.5055428,-0.23308805842045843,0.997270564214627,0.18328650480590306
1,2.4073098437901166,0.7065133357852624,0.509215,-0.1972983384936975,0.42586451605150366,0.22674742102602288
2,0.2244603050537613,0.1833136640913044,0.3062705,0.12295684586696282,0.18234393693565354,0.21928029542644234
3,2.2848096808410716,0.6955683594600369,0.51127803,-0.18429032620350616,0.6205636283858632,0.36861489421125065
4,1.3846974351907126,0.580659590083374,0.71807015,0.13741055933831792,0.529736818283193,0.4384617869174329
5,1.4622458049928602,0.593866705764212,0.6368012,0.0429344774595124,0.9126442475316979,0.05321636775281264
6,0.4867647267394029,0.32739862466801856,0.67395747,0.34655884241114404,0.16167981532627795,0.30111953141621606
7,0.49400870530566043,0.3306598573029002,0.6694624,0.3388025254905263,0.46741671273650065,0.255193141782381
8,0.7274795734333922,0.4211219539849698,0.7109443,0.2898223409445346,0.11453858120286942,0.35106994977785183
9,2.0593436378398002,0.6731325021382367,0.506133,-0.1669994822140729,0.2736179082280157,0.2521736705860126
10,0.4641171436571031,0.31699454218384565,0.67233175,0.35533720820906817,0.44324282006583515,0.263163591758684
11,0.2601630817124567,0.20645191522268433,0.32216373,0.11571181563707214,0.1254299647680518,0.15583996885436452
12,0.28843387526670067,0.22386393341838828,0.5678387,0.3439747950094987,0.6181371936607712,0.20606899533669326
13,0.7184992090474781,0.418096909946048,0.5058589,0.08776198821679382,0.7274957907375856,0.46159580410966194
14,0.6363413433282198,0.3888805632900161,0.5960263,0.2071457380939561,0.41090495562064866,0.12505372023530564
15,1.1239802362146283,0.5291858262380978,0.7112341,0.1820482664743045,0.31635282388090236,0.3157996390108623
16,2.035381846382953,0.6705521576497441,0.70659024,0.03603807758356281,0.9493252298183685,0.09150357348662126
17,0.21329082611982084,0.17579530111666475,0.4584186,0.28262330659512724,0.06764755045323068,0.18905321886873758
18,0.8309218926594307,0.45382705618998803,0.64271677,0.18888970921375953,0.8342512733296459,0.14038598986002826
19,0.5077869110879603,0.3367763092740744,0.48393887,0.14716256354010404,0.2099360863705283,0.291241240126892
20,2.6241102769009794,0.7240702065900952,0.72380286,-0.000267342038551055,0.08190707704896727,0.36671148092855665
21,0.4620197938315079,0.31601473234551425,0.5311543,0.21513954259497647,0.5870926877806507,0.15040319389005724
22,0.8385742528490603,0.45610029159801574,0.71663976,0.26053946555835633,0.2981819271604573,0.4245067842116848
23,0.25603632840617085,0.2038446839599492,0.3796017,0.17575700323296767,0.9537302869719542,0.1632594636947171
24,2.2120613952067303,0.688673447683076,0.7256587,0.03698526708819472,0.8521072015655635,0.2969969978173469
25,2.7307088589265867,0.7319544253346739,0.72807884,-0.003875583171587982,0.5195232290599621,0.1279718691887449
26,0.48903080234030855,0.32842222039443325,0.5345412,0.2061189692761295,0.3916209514558624,0.13986867172113723
27,1.2159945548582167,0.548735353249105,0.7176766,0.16894122670313494,0.8552891970477281,0.29664375622787353
28,1.0431439202032964,0.5105582185808535,0.71450037,0.2039421490605955,0.384098884112681,0.3649523523794228
29,0.49154223865402336,0.32955301292546296,0.27935198,-0.050201033431368114,0.7781447126617621,0.07871229428362148
30,3.623146105118713,0.7836970804593851,0.7372717,-0.04642535432794592,0.37815997552239733,0.19056615489707293
31,1.5594306175414527,0.6092880998037823,0.51101893,-0.09826916793809015,0.6835017929987522,0.41183313368088603
32,0.8488409140488772,0.4591205806831451,0.70576996,0.24664937542876286,0.8926765934404803,0.3538773569893762
33,0.2766633696429017,0.21670815989675324,0.4742773,0.2575691278248807,0.6251398582058743,0.48158258242614393
34,0.5418303291901815,0.3514202042417781,0.3946504,0.043230195443127895,0.6624009902322634,0.14618080852107396
35,1.5844841684091764,0.6130755946493074,0.5112472,-0.1018283769941255,0.8393344564006443,0.49710198936580946
36,3.0238826466819613,0.7514838061133352,0.4987298,-0.25275401089582117,0.055247756812724425,0.13107349987319944
37,2.3409896042627087,0.7006874853115024,0.49302328,-0.20766420898246185,0.1542439000243392,0.10732136921240074
38,0.3232169871623983,0.24426605031388546,0.48368007,0.23941401913267826,0.28453500619492067,0.38836062322413517
39,0.2236382721080174,0.1827650190466383,0.57324195,0.39047693003478257,0.6751741459274323,0.35563518132458366
40,0.3987665660995844,0.28508442778378107,0.6587312,0.3736467943689289,0.06804640703944653,0.25273626256870163
41,0.9943478007484299,0.49858294544977333,0.4943058,-0.004277155979100722,0.48549624183635376,0.19456653071477037
42,0.4111734672484866,0.2913698966082425,0.54461986,0.2532499616566806,0.4393541449578907,0.11359208274786955
43,0.41611549126384006,0.29384290605596697,0.49116373,0.19732082456537092,0.9073442536803448,0.4191069989295629
44,0.7237644292366945,0.4198743267705013,0.6549053,0.2350309924433659,0.5442663018119684,0.1451442958021302
45,0.6125149344784611,0.3798507048721183,0.708388,0.32853726605225914,0.6691668316509773,0.4187692154169637
46,0.21309353176615844,0.17566125462388119,0.65186185,0.4762005918231098,0.9759126230755567,0.447897009758479
47,0.5776862804550095,0.36616042594247766,0.6832576,0.31709715386098913,0.33554223086519686,0.2705328297271636
48,2.1006888255564196,0.6774910169128147,0.49380884,-0.18368218116795687,0.6884544673226175,0.12332923436348141
49,0.2717922590866846,0.21370806210274268,0.60283667,0.38912860638862085,0.6553728362172251,0.31535940586147504
50,1.566635454907765,0.6103848725038609,0.50994396,-0.1004409104066929,0.7651021847907976,0.3339921380569792
51,0.6553197140564773,0.3958870957022376,0.23476009,-0.16112700499350502,0.6836389271296122,0.06250664522718179
52,1.9722256950826158,0.6635517949883668,0.51223165,-0.15132014702007457,0.670462980738937,0.3992657957503223
53,3.7508039584073662,0.7895093106861781,0.72363156,-0.06587774988371842,0.9208361918081255,0.3902586048795421
54,1.5572128846709412,0.6089492564367872,0.5081081,-0.10084117700334605,0.33987915600810803,0.299051274937694
55,2.4463692703650324,0.709839566932396,0.513477,-0.19636253951616678,0.9578147199491203,0.4867084140389642
56,0.2904661905562165,0.22508624610383615,0.6810861,0.4559998768858184,0.08816581496319809,0.44053081422930485
57,0.5818909271255622,0.36784516375153015,0.15099019,-0.2168549756297345,0.7192962369891615,0.06175956886108049
58,0.66620379141683,0.3998333186184471,0.6899308,0.29009747800478286,0.9437414692820334,0.36003259317269193
59,1.3636531140251147,0.5769260751223012,0.71862406,0.1416979802632884,0.4506717087754094,0.47406354670366296
60,0.7174278750546148,0.4177339179567004,0.7003745,0.28264056610549443,0.8031246713781857,0.29739932769534955
61,1.274144649941351,0.5602742332042117,0.6955299,0.1352556449352842,0.9979974611069949,0.1530002107877208
62,1.88001424433358,0.6527794951127421,0.49911702,-0.15366247832044477,0.38948713094809684,0.14142445240424073
63,0.8745407243528225,0.46653599625303105,0.507788,0.041252006237966266,0.7347233234130078,0.4757556388703268
64,3.1548749623924897,0.7593188702304118,0.51265633,-0.24666253916809489,0.16360154923662562,0.3400732950401216
65,3.7136262825488187,0.7878491123273214,0.5122782,-0.27557091313145954,0.12850700706002005,0.36553586449883646
66,1.7366442980582655,0.6345889742742485,0.5140294,-0.12055959061488575,0.07656353260800952,0.45187592171155794
67,0.5249434437634393,0.3442379754543031,0.45597494,0.1117369610309874,0.21155503571994438,0.2090583476698139
68,0.5257330401184348,0.34457734498403786,0.71218354,0.3676061901149917,0.23829833512616394,0.48219436341948735
69,1.1417768586167618,0.5330979527690682,0.7147688,0.1816708741924491,0.4212535122725066,0.41790627301339783
70,0.2381175417922106,0.19232224223842967,0.4665066,0.2741843581415142,0.27980953394444996,0.4805398445303269
